what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487445422695
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487445433367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487445441162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487445453336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1487445460122
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1487445461789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487445470167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487445487991
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487445500337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1487445503620
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1487445505480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487445526899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487446307694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1487446347625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487446351634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487531969966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487531979965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487531980127
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1487532007868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487532063594
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1487532075101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487532109690
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1487532212376
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1487532224788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487532224880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1487532340831
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1487532392034
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1487532401981
